"ID";"SIREN";"Organisation_name";"Type_of_org";"zip_code";"City";"Department_code";"Department_name";"Region";"categorie_entreprise";"etablissements";"creation_date";"juridical_nature";"is_sse";"is_mission_driven"
153;488028622;"COMITE DPTAL 83 FEDERATION SPORTIVE POLICE FRANCAISE";"Associations";83190;"OLLIOULES";"83";"VAR";"PROVENCE ALPES COTE D AZUR";NA;"1";"2005-09-20";"9220";"TRUE";"FALSE"
154;490023470;"ASSOCIATION ART ET DEVOTION";"Associations";43000;"LE PUY-EN-VELAY";"43";"HAUTE LOIRE";"AUVERGNE RHONE ALPES";NA;"1";"2003-04-23";"9220";"TRUE";"FALSE"
155;500063425;"LE COMMERCE MUROIS";"Associations";38350;"LA MURE";"38";"ISERE";"AUVERGNE RHONE ALPES";NA;"1";"2003-05-28";"9220";"TRUE";"FALSE"
156;510917651;"LEONARD ET SES AMIS";"Associations";13090;"AIX-EN-PROVENCE";"13";"BOUCHES DU RHONE";"PROVENCE ALPES COTE D AZUR";NA;"1";"2007-02-26";"9220";"TRUE";"FALSE"
157;523652618;"LA CANNE COMPSOISE";"Associations";83840;"COMPS-SUR-ARTUBY";"83";"VAR";"PROVENCE ALPES COTE D AZUR";NA;"1";"1951-07-06";"9220";"TRUE";"FALSE"
158;751112103;"ASS MONTGIROTAINE LOU Z'EFANTS DE MONTZOU";"Associations";73210;"AIME-LA-PLAGNE";"73";"SAVOIE";"AUVERGNE RHONE ALPES";NA;"1";"2008-07-07";"9220";"TRUE";"FALSE"
159;779491554;"UNION SPORTIVE JARRIE CHAMP BASKET BALL";"Associations";38560;"CHAMP-SUR-DRAC";"38";"ISERE";"AUVERGNE RHONE ALPES";"PME";"1";"1900-01-01";"9220";"TRUE";"FALSE"
160;798903886;"NIHAO LYON";"Associations";69007;"LYON 7EME";"69";"RHONE";"AUVERGNE RHONE ALPES";"PME";"1";"2013-10-31";"9220";"TRUE";"FALSE"
161;56806516;"COOP OUV SUD EST BAT ET T P";"Cooperative";13010;"MARSEILLE 10";"13";"BOUCHES DU RHONE";"PROVENCE ALPES COTE D AZUR";"Not_found";"Not_found";"Not_found";"Not_found";"Not_found";"Not_found"
162;341450690;"MARSEILLE GESTION";"Associations";13001;"MARSEILLE 1";"13";"BOUCHES DU RHONE";"PROVENCE ALPES COTE D AZUR";"PME";"1";"1986-02-07";"9220";"TRUE";"FALSE"
163;379793870;"FESTIVAL INTERNATIONAL DE GUITARE";"Associations";26200;"MONTELIMAR";"26";"DROME";"AUVERGNE RHONE ALPES";"PME";"1";"1990-09-01";"9220";"TRUE";"FALSE"
